subject,game_id,local_index
Jalen Hurts,W1,52.92690011040862
Saquon Barkley,W1,69.05113714975646
AJ Brown,W1,43.519582229646446
Quinyon Mitchell,W1,52.5793575667022
Zack Baun,W1,69.12027395319508
Josh Allen,W1,42.79723884402226
James Cook,W1,54.21983686074081
Dalton Kincaid,W1,49.76899461565999
Matt Milano,W1,52.21384986684727
Greg Rousseau,W1,48.7742196268311
Joe Burrow,W1,67.66981498922647
JaMarr Chase,W1,0.0
Tee Higgins,W1,65.82648075988094
Trey Hendrickson,W1,66.1218557685549
Evan McPherson,W1,66.69734244002171
Daniel Jones,W1,55.65903195444025
Jonathan Taylor,W1,46.94891748919631
Michael Pittman Jr,W1,82.66430599550652
Quenton Nelson,W1,75.41600690151834
Laiatu Latu,W1,70.58093229417214
Patrick Mahomes,W1,55.0471989855995
Travis Kelce,W1,36.33544902359058
Xavier Worthy,W1,39.54581649324029
Caleb Williams,W1,55.24507513576322
DJ Moore,W1,48.21701576626719
Keenan Allen,W1,41.97520821659041
Rome Odunze,W1,64.8762003114615
Jaylon Johnson,W1,54.403930201622245
Baker Mayfield,W1,63.89459246761947
Mike Evans,W1,62.747676137356976
Chris Godwin,W1,51.52011455381484
Antoine Winfield Jr,W1,84.35715908907838
Vita Vea,W1,50.15863239059475
Sam Darnold,W1,51.685016858942
Jaxon Smith-Njigba,W1,56.56318569672821
Tariq Woolen,W1,27.350072921986484
Kenneth Walker III,W1,58.55946486565933
Devon Witherspoon,W1,57.66835424409962
Dak Prescott,W1,46.95592604067819
CeeDee Lamb,W1,50.42784477580715
Javonte Williams,W1,57.64960822668468
George Pickens,W1,39.56033607124079
Drake Maye,W1,35.519899803121035
TreVeyon Henderson,W1,54.52697449175782
Stefon Diggs,W1,73.04678626286298
Christian Gonzalez,W1,57.12110222221197
Kayshon Boutte,W1,100.0
Jalen Hurts,W2,13.372841430405703
Saquon Barkley,W2,39.35045805533393
AJ Brown,W2,15.35959971566752
Quinyon Mitchell,W2,48.461887629544734
Zack Baun,W2,41.48334308767226
Josh Allen,W2,49.72593536135125
James Cook,W2,67.3627729551705
Dalton Kincaid,W2,69.68567732809449
Matt Milano,W2,16.366250027107046
Greg Rousseau,W2,80.09179948480465
Joe Burrow,W2,24.1593464589826
JaMarr Chase,W2,35.14638093384775
Tee Higgins,W2,35.13747852027285
Trey Hendrickson,W2,15.627971173159366
Evan McPherson,W2,36.07179146452172
Daniel Jones,W2,18.492412523493044
Jonathan Taylor,W2,61.92753139350901
Michael Pittman Jr,W2,12.86723913168591
Quenton Nelson,W2,11.703492170015686
Laiatu Latu,W2,13.811732819002978
Patrick Mahomes,W2,36.18408605271964
Travis Kelce,W2,24.106711870665723
Xavier Worthy,W2,8.216251835672832
Caleb Williams,W2,20.226425345419845
DJ Moore,W2,17.9937951934857
Keenan Allen,W2,31.44212658204749
Rome Odunze,W2,51.27147243302391
Jaylon Johnson,W2,10.427815726096709
Baker Mayfield,W2,40.08987584461211
Mike Evans,W2,35.07594431216401
Chris Godwin,W2,21.52959245998532
Vita Vea,W2,0.0
Sam Darnold,W2,30.852930375697017
Jaxon Smith-Njigba,W2,40.315664623055824
Tariq Woolen,W2,100.0
Kenneth Walker III,W2,46.32917309616532
Devon Witherspoon,W2,31.29077691693444
Dak Prescott,W2,46.29098094716929
CeeDee Lamb,W2,44.41046541028692
Quinnen Williams,W2,32.33392021156097
Javonte Williams,W2,39.71682885889784
