subject,game_id,local_index
Jalen Hurts,W1,53.016715821557604
Saquon Barkley,W1,64.86445837625993
AJ Brown,W1,39.80257795400704
Quinyon Mitchell,W1,55.79269117629801
Zack Baun,W1,65.89518461245973
Josh Allen,W1,41.55258330703137
James Cook,W1,55.88614800493422
Dalton Kincaid,W1,51.47092163771233
Matt Milano,W1,51.15981185786369
Greg Rousseau,W1,44.93316347105157
Joe Burrow,W1,63.33902668267189
JaMarr Chase,W1,0.0
Tee Higgins,W1,70.09994726470782
Trey Hendrickson,W1,66.32656450841995
Evan McPherson,W1,67.5999650032521
Daniel Jones,W1,58.1828464408556
Jonathan Taylor,W1,35.677587443034106
Michael Pittman Jr,W1,82.62785421589312
Quenton Nelson,W1,87.26652684888478
Laiatu Latu,W1,72.60658738174233
Patrick Mahomes,W1,51.80021822605635
Travis Kelce,W1,26.066917862811863
Xavier Worthy,W1,43.646136541877176
Caleb Williams,W1,44.541133503238974
DJ Moore,W1,43.82279283791541
Keenan Allen,W1,33.92011720214101
Rome Odunze,W1,66.93286133105477
Jaylon Johnson,W1,51.205249499881624
Baker Mayfield,W1,63.82403295449214
Mike Evans,W1,64.02219203705181
Chris Godwin,W1,52.28537349818056
Antoine Winfield Jr,W1,87.78076422210424
Vita Vea,W1,55.64252342165958
Sam Darnold,W1,47.35102756973738
Jaxon Smith-Njigba,W1,55.836591933575754
Tariq Woolen,W1,17.937527653785367
Kenneth Walker III,W1,71.70622910514078
Devon Witherspoon,W1,52.67343895894411
Dak Prescott,W1,45.722312464334735
CeeDee Lamb,W1,50.16147461098617
Javonte Williams,W1,60.23729996981204
George Pickens,W1,37.029766202889434
Drake Maye,W1,38.024961433254425
TreVeyon Henderson,W1,49.024623222918216
Stefon Diggs,W1,77.20111062872553
Christian Gonzalez,W1,62.09192887362346
Kayshon Boutte,W1,100.0
Jalen Hurts,W2,20.36293458840249
Saquon Barkley,W2,38.83839553560138
AJ Brown,W2,19.87023505781978
Quinyon Mitchell,W2,44.30329988210025
Zack Baun,W2,54.1185800614987
Josh Allen,W2,48.01015689633008
James Cook,W2,73.17391212593802
Dalton Kincaid,W2,70.55474397897919
Matt Milano,W2,19.503197117892494
Greg Rousseau,W2,81.78592649249939
Joe Burrow,W2,27.30837981806234
JaMarr Chase,W2,29.47425930291443
Tee Higgins,W2,42.47106834840994
Trey Hendrickson,W2,20.756486454831222
Evan McPherson,W2,42.50231516720468
Daniel Jones,W2,25.26502297077147
Jonathan Taylor,W2,59.28618619931634
Michael Pittman Jr,W2,18.519118450066134
Quenton Nelson,W2,15.114120511366059
Laiatu Latu,W2,16.98452300270122
Patrick Mahomes,W2,40.157082960911815
Travis Kelce,W2,25.3820686484208
Xavier Worthy,W2,14.026755904397515
Caleb Williams,W2,24.860751880943912
DJ Moore,W2,25.65482181227608
Keenan Allen,W2,32.35794466973873
Rome Odunze,W2,52.724631411170286
Jaylon Johnson,W2,17.43400772841173
Baker Mayfield,W2,42.453730856401066
