,game_week,stats_rushing_rush_attempts,stats_rushing_rush_yards,stats_rushing_rush_td
2649,2,0.8695111877888596,0.44067493312249156,1.2247448713915892
3226,3,0.1022954338575129,-0.7160967663240487,-0.816496580927726
4815,4,0.29409937234034955,-0.7987233162845159,1.2247448713915892
6305,5,-2.1993518279365274,-1.1567716994465402,-0.816496580927726
7377,6,-1.0485281970395073,-0.38559056648218004,-0.816496580927726
9034,7,0.1022954338575129,-0.7711811329643602,-0.816496580927726
10372,8,-0.6649203200738338,2.1482902989721464,1.2247448713915892
13968,10,0.8695111877888596,-0.33050619984186863,-0.816496580927726
15295,11,1.6367269417202064,0.30296401652171295,-0.816496580927726
16430,12,-1.4321360740051805,-1.3771091660077859,-0.816496580927726
17067,13,-0.8567242585566704,-0.4406749331224915,-0.816496580927726
19515,14,0.48590331082318633,1.3771091660077859,1.2247448713915892
19809,15,0.8695111877888596,0.16525309992093434,1.2247448713915892
21213,16,0.677707249306023,1.652530999209343,1.2247448713915892
23840,17,0.29409937234034955,-0.11016873328062288,-0.816496580927726
