,game_week,stats_rushing_rush_attempts,stats_rushing_rush_yards,stats_rushing_rush_td
2020,2,0.40160966445124946,0.7306459507710071,1.5523646690046031
3066,3,0.08032193289024994,0.20621969825499453,0.36961063547728645
5056,4,0.5622535302317492,0.40287954294849915,0.36961063547728645
7219,5,-0.5622535302317492,-1.0829948391802031,-0.8131433980500302
8638,6,-0.2409657986707496,-0.2526532726965165,-0.8131433980500302
10615,8,0.08032193289024994,2.566137834577051,1.5523646690046031
12501,9,1.3654728591342482,0.3373262613839977,-0.8131433980500302
13256,10,-0.8835412617927487,-0.9955904637608677,-0.8131433980500302
14573,11,-0.40160966445124946,-1.1048459330350369,-0.8131433980500302
15522,12,-0.2409657986707496,0.38102844909366534,0.36961063547728645
18002,13,2.168692188036747,0.9928590770290133,-0.8131433980500302
18759,14,-0.08032193289024984,-0.40561092968035345,-0.8131433980500302
20065,15,0.5622535302317492,0.18436860440016065,1.5523646690046031
21703,16,-0.40160966445124946,0.40287954294849915,1.5523646690046031
23876,17,0.24096579867074971,-0.5367174928093567,-0.8131433980500302
24960,18,-2.6506237853782464,-1.825932030244554,-0.8131433980500302
