,Statistic,Twitter Pearson,Twitter Distance Corr,Global Pearson,Global Distance Corr
0,SL Pass Attempts,-0.0034,0.4659,0.0753,0.3774
1,SL Completions,-0.1014,0.4223,-0.0426,0.3305
2,SL Pass Yards,-0.12,0.3667,-0.093,0.2942
3,SL Pass TDs,-0.0616,0.2999,0.2864,0.3623
4,SL INTs,0.1161,0.3509,0.4254,0.4376
5,SL QB Rating,-0.1673,0.3865,-0.1577,0.3081
