,game_week,stats_passing_pass_attempts,stats_passing_pass_completions,stats_passing_pass_yards,stats_passing_pass_td,stats_passing_pass_int,stats_passing_qb_rating
2665,2,-0.9503804239561466,-0.7589709258986455,-1.5357718403229867,-1.3975424859373686,-0.3922322702763681,-0.6777854718065344
3391,3,0.46107565122624933,0.6071767407189164,0.3136643835727102,1.118033988749895,-0.3922322702763681,0.5193789449228792
4946,4,-0.6680892089196675,-0.7589709258986455,-1.1067026363791852,0.2795084971874738,-0.3922322702763681,0.1274139455368529
6408,5,1.307949296335687,1.0625592962581036,1.1126208322956512,0.2795084971874738,-0.3922322702763681,0.014989875945511957
7399,6,0.602221258744489,1.2902505740276973,1.157007301669148,-0.5590169943749475,0.5883484054145521,-0.1338960540538311
9140,7,-0.8092348164379071,0.15179418517972906,1.7932133626892677,1.118033988749895,-0.3922322702763681,1.7621206871622959
10494,8,-1.232671638992626,-0.7589709258986455,-0.3817236366120718,1.956559480312316,-0.3922322702763681,1.2516546414502614
13984,10,-0.38579799388318825,-0.7589709258986455,-0.3225416774474095,-0.5590169943749475,-0.3922322702763681,-0.24328163527783864
15310,11,-0.10350677884670904,-0.986662203668239,-1.0327251874233572,-1.3975424859373686,-0.3922322702763681,-1.1092508199678965
16463,12,1.4490949038539267,1.973324407336478,1.2457802404161413,-0.5590169943749475,-0.3922322702763681,-0.03362593793182446
17088,13,0.7433668662627286,0.15179418517972906,0.3728463427373725,0.2795084971874738,0.5883484054145521,-0.489399193031855
19534,14,1.5902405113721663,0.6071767407189164,0.5208012406490284,-1.3975424859373686,3.5300904324873126,-2.0997980277186294
19942,15,-1.9383996765838238,-1.4420447592074264,-0.44090559577673416,1.118033988749895,-0.3922322702763681,1.6588120826729555
21233,16,0.17878443618977016,0.83486801848851,-0.2929506978650784,0.2795084971874738,-0.3922322702763681,0.32795417778086616
23859,17,-0.24465238636494865,-1.2143534814378327,-1.4026124322024967,-0.5590169943749475,-0.3922322702763681,-0.8752872156832142
