,game_week,stats_passing_pass_attempts,stats_passing_pass_completions,stats_passing_pass_yards,stats_passing_pass_td,stats_passing_pass_int,stats_passing_qb_rating
1719,2,-0.4598110356335618,-1.0819670117483031,-1.1830798627023345,-1.3368478455539217,-0.8451542547285165,-1.1998572886375185
3029,3,0.07074015932824024,0.6264019541700702,-0.08867486636952977,1.278724026182012,-0.8451542547285165,1.4869849673990305
4817,4,-0.990362230595364,-0.6548747702687098,-0.15602286614385621,0.40686673560336745,0.4225771273642583,0.5795670720324855
7186,5,0.6012913542900424,0.6264019541700702,0.5848051313737346,0.40686673560336745,0.4225771273642583,0.12364490997027057
8602,6,-0.28296063731296117,-0.8684208910085064,-0.6442958645077229,0.40686673560336745,1.6903085094570331,-1.2352687187006037
10375,8,-1.5209134255571664,-1.5090592532278961,-0.9305248635486102,-0.4649905549752771,-0.8451542547285165,0.3316870615908932
12468,9,-0.28296063731296117,0.8399480749098668,0.9215451302453668,-0.4649905549752771,-0.8451542547285165,1.004504232789502
13020,10,2.1929449391754487,1.9076786786088502,1.4771661283835598,0.40686673560336745,0.4225771273642583,-0.08882367040823733
14330,11,0.42444095596944165,-0.014236408049319752,1.6623731277629576,1.278724026182012,1.6903085094570331,0.17233562630701235
15489,12,1.1318425492518447,1.0534941956496635,0.5848051313737346,-1.3368478455539217,1.6903085094570331,-1.4654430141106536
17935,13,-0.8135118322747632,-0.8684208910085064,-1.604004861291875,-0.4649905549752771,0.4225771273642583,-1.1246079997534641
18507,14,0.07074015932824024,0.6264019541700702,0.5511311314865713,1.278724026182012,-0.8451542547285165,1.7348649778406227
19810,15,0.07074015932824024,-0.014236408049319752,-0.425414865241162,1.278724026182012,-0.8451542547285165,1.000077804031616
21478,16,-1.5209134255571664,-1.5090592532278961,-1.4861458616868035,-1.3368478455539217,-0.8451542547285165,-0.7660672703647317
23841,17,1.3086929475724451,0.8399480749098668,0.7363381308659691,-1.3368478455539217,-0.8451542547285165,-0.5535986899862236
