level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,sentiment index leads (sent W -> perf W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,16,0.2186,0.416,0.3118,0.2398,0.4525,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,8,0.4144,0.3074,0.3114,0.4528,0.5813,,
per_player,concurrent (W vs W),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,0.2283,0.395,0.3059,0.2493,0.3306,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,13,0.3124,0.2988,0.3054,0.3103,0.5476,,
per_player,concurrent (W vs W),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,17,0.2813,0.2741,0.299,0.2437,0.421,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,16,-0.3705,0.1578,-0.2901,0.2757,0.5748,,
per_player,concurrent (W vs W),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,17,0.2945,0.2512,0.2745,0.2863,0.3125,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,-0.2884,0.3898,-0.2455,0.4669,0.4108,,
per_player,perf leads (perf W -> sent W+1),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,16,-0.2283,0.395,-0.2324,0.3865,0.4313,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,13,-0.0999,0.7454,-0.2311,0.4475,0.3363,,
per_player,concurrent (W vs W),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,14,0.0007,0.998,0.2264,0.4364,0.4574,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,7,0.3317,0.4674,0.2143,0.6445,0.5923,,
per_player,perf leads (perf W -> sent W+1),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,7,-0.2671,0.5626,-0.2143,0.6445,0.5182,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,0.0958,0.7242,0.2075,0.4406,0.2836,,
per_player,concurrent (W vs W),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,17,0.3213,0.2085,0.2074,0.4245,0.3957,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,14,0.2436,0.4013,0.2068,0.4781,0.3807,,
per_player,concurrent (W vs W),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,17,0.2191,0.3981,0.206,0.4276,0.3134,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,16,0.1948,0.4698,0.2059,0.4443,0.4616,,
per_player,concurrent (W vs W),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,17,0.2231,0.3893,0.2034,0.4336,0.4157,,
per_player,concurrent (W vs W),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,17,0.0466,0.859,0.1987,0.4447,0.323,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,16,-0.2222,0.4082,-0.1971,0.4645,0.3671,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,16,-0.3516,0.1817,-0.1853,0.4921,0.5393,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,16,0.2428,0.3649,0.1853,0.4921,0.3674,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,13,0.2608,0.3895,0.1843,0.5466,0.4118,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,11,-0.0496,0.8849,0.1818,0.5926,0.3468,,
per_player,concurrent (W vs W),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,17,0.2858,0.2661,0.1716,0.5103,0.3406,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,16,0.1269,0.6394,0.1706,0.5276,0.3556,,
per_player,perf leads (perf W -> sent W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,16,0.1637,0.5447,0.1676,0.5349,0.3444,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,16,0.0999,0.7127,0.1472,0.5865,0.3423,,
per_player,perf leads (perf W -> sent W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,-0.3169,0.2317,-0.1471,0.5868,0.43,,
per_player,perf leads (perf W -> sent W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,16,-0.0983,0.7173,-0.1369,0.6132,0.3327,,
per_player,perf leads (perf W -> sent W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,-0.1595,0.5702,-0.1286,0.6479,0.3983,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,13,0.1447,0.6372,0.1264,0.6808,0.3773,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,0.1312,0.6844,0.1259,0.6967,0.4033,,
per_player,perf leads (perf W -> sent W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,14,-0.2268,0.4355,-0.1253,0.6696,0.3218,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,15,0.2631,0.3435,0.1214,0.6664,0.388,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,15,-0.1393,0.6206,-0.1179,0.6757,0.3989,,
per_player,perf leads (perf W -> sent W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,13,0.1416,0.6445,0.1154,0.7074,0.3965,,
per_player,sentiment index leads (sent W -> perf W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,16,-0.0509,0.8514,0.1118,0.6803,0.3232,,
per_player,concurrent (W vs W),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,-0.0678,0.8624,0.1004,0.7971,0.4887,,
per_player,concurrent (W vs W),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,17,-0.0063,0.9809,-0.0994,0.7043,0.4114,,
per_player,concurrent (W vs W),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,16,-0.0373,0.8909,-0.0986,0.7164,0.2877,,
per_player,concurrent (W vs W),QB,Drake Maye,NE,QB,fantasy_points_ppr,17,0.1316,0.6145,0.098,0.7082,0.4191,,
per_player,concurrent (W vs W),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,8,0.0162,0.9697,0.0952,0.8225,0.4008,,
per_player,perf leads (perf W -> sent W+1),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,16,-0.0703,0.7959,-0.0912,0.737,0.4329,,
per_player,concurrent (W vs W),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,15,-0.001,0.9972,0.0912,0.7466,0.3867,,
per_player,concurrent (W vs W),RB,James Cook,BUF,RB,fantasy_points_ppr,17,0.0632,0.8096,0.0895,0.7326,0.2582,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,16,0.1296,0.6325,0.0853,0.7535,0.349,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,16,-0.1871,0.4878,-0.0824,0.7617,0.3388,,
per_player,concurrent (W vs W),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,0.1494,0.5952,0.0821,0.771,0.3107,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,16,-0.1683,0.5333,-0.0766,0.778,0.3786,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,14,-0.331,0.2477,-0.0704,0.811,0.6166,,
per_player,perf leads (perf W -> sent W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,16,-0.0516,0.8493,-0.0647,0.8118,0.3873,,
per_player,concurrent (W vs W),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,14,0.1752,0.549,0.0637,0.8286,0.5108,,
per_player,concurrent (W vs W),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,0.0123,0.9696,-0.0629,0.8459,0.4892,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,16,0.0335,0.902,0.0618,0.8202,0.4356,,
per_player,concurrent (W vs W),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,17,0.1324,0.6124,0.0552,0.8334,0.3043,,
per_player,concurrent (W vs W),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,8,0.0713,0.8668,0.0476,0.9108,0.4429,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,16,0.118,0.6634,0.0398,0.8838,0.3613,,
per_player,perf leads (perf W -> sent W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,16,0.1865,0.4893,0.0397,0.8838,0.356,,
per_player,sentiment index leads (sent W -> perf W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,16,0.0116,0.9659,0.0324,0.9053,0.3661,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,15,0.0697,0.805,-0.0214,0.9396,0.3004,,
per_player,perf leads (perf W -> sent W+1),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,16,0.0003,0.999,0.0029,0.9914,0.2533,,
per_player,perf leads (perf W -> sent W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,16,0.0898,0.7409,0.0029,0.9914,0.3267,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,-0.1769,0.7044,0.0,1.0,0.5746,,
per_player,concurrent (W vs W),DEF,Antoine Winfield Jr.,TB,FS,fantasy_points_ppr,17,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Chris Jones,KC,DE,fantasy_points_ppr,17,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Christian Gonzalez,NE,CB,fantasy_points_ppr,14,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Devon Witherspoon,SEA,CB,fantasy_points_ppr,12,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Gregory Rousseau,BUF,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Jaylon Johnson,CHI,CB,fantasy_points_ppr,7,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Laiatu Latu,IND,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Matt Milano,BUF,OLB,fantasy_points_ppr,12,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinnen Williams,NYJ,DT,fantasy_points_ppr,15,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinyon Mitchell,PHI,CB,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Tariq Woolen,SEA,CB,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Trent McDuffie,KC,CB,fantasy_points_ppr,13,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Trey Hendrickson,CIN,DE,fantasy_points_ppr,7,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Vita Vea,TB,DT,fantasy_points_ppr,17,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Zack Baun,PHI,ILB,fantasy_points_ppr,16,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Antoine Winfield Jr.,TB,FS,fantasy_points_ppr,16,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Chris Jones,KC,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Christian Gonzalez,NE,CB,fantasy_points_ppr,14,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Devon Witherspoon,SEA,CB,fantasy_points_ppr,11,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Gregory Rousseau,BUF,DE,fantasy_points_ppr,15,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Jaylon Johnson,CHI,CB,fantasy_points_ppr,7,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Laiatu Latu,IND,DE,fantasy_points_ppr,15,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Matt Milano,BUF,OLB,fantasy_points_ppr,11,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Quinnen Williams,NYJ,DT,fantasy_points_ppr,14,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Quinyon Mitchell,PHI,CB,fantasy_points_ppr,15,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Tariq Woolen,SEA,CB,fantasy_points_ppr,15,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Trent McDuffie,KC,CB,fantasy_points_ppr,12,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Trey Hendrickson,CIN,DE,fantasy_points_ppr,6,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Vita Vea,TB,DT,fantasy_points_ppr,16,,,,,0.0,,
per_player,sentiment index leads (sent W -> perf W+1),DEF,Zack Baun,PHI,ILB,fantasy_points_ppr,15,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Antoine Winfield Jr.,TB,FS,fantasy_points_ppr,16,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Chris Jones,KC,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Christian Gonzalez,NE,CB,fantasy_points_ppr,13,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Devon Witherspoon,SEA,CB,fantasy_points_ppr,11,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Gregory Rousseau,BUF,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Jaylon Johnson,CHI,CB,fantasy_points_ppr,6,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Laiatu Latu,IND,DE,fantasy_points_ppr,15,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Matt Milano,BUF,OLB,fantasy_points_ppr,12,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Quinnen Williams,NYJ,DT,fantasy_points_ppr,14,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Quinyon Mitchell,PHI,CB,fantasy_points_ppr,16,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Tariq Woolen,SEA,CB,fantasy_points_ppr,15,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Trent McDuffie,KC,CB,fantasy_points_ppr,13,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Trey Hendrickson,CIN,DE,fantasy_points_ppr,7,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Vita Vea,TB,DT,fantasy_points_ppr,16,,,,,0.0,,
per_player,perf leads (perf W -> sent W+1),DEF,Zack Baun,PHI,ILB,fantasy_points_ppr,16,,,,,0.0,,
