level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,perf leads (perf W -> sent W+1),RB,stats_receiving_receptions,96,-0.0576,0.577,-0.0699,0.4987,0.1546,,
population,perf leads (perf W -> sent W+1),QB,stats_rushing_rush_td,146,-0.1257,0.1307,-0.0696,0.4041,0.1681,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_snap_counts_offense_snaps,142,-0.0452,0.5936,-0.0672,0.4268,0.1355,,
population,perf leads (perf W -> sent W+1),RB,stats_rushing_rush_yards,96,-0.0624,0.5457,-0.0665,0.5198,0.1475,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_completions,142,-0.04,0.6367,-0.0654,0.4392,0.1285,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_yards,142,-0.0391,0.6438,-0.0652,0.4404,0.1361,,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_targets,96,-0.0599,0.5621,-0.0643,0.5337,0.1482,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_attempts,142,-0.0401,0.6353,-0.0615,0.4674,0.12,,
population,perf leads (perf W -> sent W+1),WR_TE,total_opportunities,234,-0.0726,0.2685,-0.0614,0.3495,0.0974,,
population,concurrent (W vs W),RB,stats_receiving_rec_yards,100,-0.0714,0.4799,-0.059,0.5599,0.1475,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_targets,234,-0.0699,0.2868,-0.058,0.3771,0.0924,,
population,perf leads (perf W -> sent W+1),DEF,stats_tackles_tackle_total,202,-0.0119,0.8665,-0.054,0.4449,0.1233,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_interceptions_interceptions,198,-0.0604,0.3976,-0.0531,0.4574,0.0747,,
population,perf leads (perf W -> sent W+1),DEF,stats_snap_counts_offense_snaps,202,-0.0166,0.8145,-0.051,0.4715,0.0876,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_td,142,-0.022,0.7948,-0.0495,0.5584,0.1312,,
population,concurrent (W vs W),DEF,stats_interceptions_passes_defended,211,0.0461,0.5052,0.0494,0.4752,0.1027,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,total_opportunities,232,-0.0626,0.3422,-0.0463,0.4826,0.0906,,
population,concurrent (W vs W),QB,fantasy_points_ppr,152,-0.0286,0.7263,-0.0456,0.5769,0.1105,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_td,146,-0.0371,0.6565,-0.0455,0.5856,0.1058,,
population,perf leads (perf W -> sent W+1),QB,fantasy_points_ppr,146,-0.0422,0.6129,-0.0426,0.6093,0.1003,,
population,concurrent (W vs W),QB,stats_snap_counts_offense_snaps,152,-0.0221,0.7871,-0.042,0.6075,0.1109,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_snap_counts_offense_snaps,198,-0.0414,0.5625,-0.0418,0.559,0.0832,,
population,perf leads (perf W -> sent W+1),DEF,stats_interceptions_interceptions,202,-0.0359,0.6122,-0.0413,0.5593,0.1019,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_targets,232,-0.0598,0.3648,-0.0408,0.5364,0.086,,
population,perf leads (perf W -> sent W+1),QB,stats_rushing_rush_yards,146,-0.009,0.9141,0.0407,0.6254,0.1094,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_snap_counts_offense_snaps,234,-0.0447,0.4958,-0.0399,0.5439,0.0949,,
