level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_rec_yards,232,-0.1021,0.121,-0.0686,0.298,0.1111,,
population,perf leads (perf W -> sent W+1),QB,fantasy_points_ppr,146,0.0584,0.4841,0.0684,0.412,0.1263,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_qb_rating,146,-0.1109,0.1827,-0.0663,0.4269,0.1711,,
population,sentiment index leads (sent W -> perf W+1),RB,total_touches,94,0.0495,0.6357,0.0655,0.5306,0.166,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_rec_yards,94,0.0272,0.7944,0.0637,0.5416,0.1655,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_int,142,0.0532,0.5296,0.0608,0.4724,0.0973,,
population,concurrent (W vs W),WR_TE,total_touches,248,0.0357,0.5756,0.06,0.3465,0.0949,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_attempts,146,0.0551,0.5087,0.0593,0.477,0.1537,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_completions,142,-0.0726,0.3907,-0.0584,0.4901,0.1448,,
population,concurrent (W vs W),RB,stats_rushing_rush_yards,100,0.1224,0.2251,0.0564,0.577,0.1324,,
population,concurrent (W vs W),RB,stats_receiving_receptions,100,0.0373,0.7122,0.0527,0.6023,0.1841,,
population,concurrent (W vs W),RB,stats_snap_counts_offense_snaps,100,-0.0308,0.7609,-0.0522,0.6063,0.1395,,
population,perf leads (perf W -> sent W+1),RB,stats_snap_counts_offense_snaps,96,-0.0428,0.6789,-0.0499,0.6289,0.1605,,
population,perf leads (perf W -> sent W+1),QB,stats_rushing_rush_yards,146,0.0167,0.8412,0.0494,0.5541,0.1038,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_rushing_rush_yards,94,0.0581,0.5778,0.0492,0.638,0.1238,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_td,142,0.0459,0.5875,0.0485,0.5668,0.1437,,
population,concurrent (W vs W),QB,stats_snap_counts_offense_snaps,152,-0.0027,0.9732,0.0472,0.5636,0.1504,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_targets,232,-0.0577,0.3818,-0.0469,0.4768,0.1091,,
population,perf leads (perf W -> sent W+1),DEF,stats_fumbles_fum_forced,202,-0.0294,0.6779,-0.0432,0.5414,0.0645,,
population,concurrent (W vs W),WR_TE,total_opportunities,248,-0.065,0.3079,-0.0425,0.5051,0.1126,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_rushing_rush_yards,142,0.0067,0.9371,0.0402,0.6351,0.144,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,total_opportunities,232,-0.0524,0.4266,-0.04,0.5446,0.1044,,
population,perf leads (perf W -> sent W+1),DEF,stats_interceptions_passes_defended,202,0.0238,0.7363,0.0378,0.5933,0.0993,,
population,perf leads (perf W -> sent W+1),RB,fantasy_points_ppr,96,-0.0057,0.9563,-0.0366,0.7232,0.1902,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_yards,142,-0.0121,0.886,0.0365,0.6661,0.1004,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_tackles_tackle_total,198,0.0179,0.8021,0.0343,0.6319,0.0984,,
population,perf leads (perf W -> sent W+1),WR_TE,total_touches,234,-0.0713,0.2777,-0.0335,0.6106,0.1,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_interceptions_passes_defended,198,0.0876,0.2196,0.0329,0.645,0.0937,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_receptions,232,-0.058,0.3789,-0.0315,0.6331,0.0949,,
population,concurrent (W vs W),QB,stats_rushing_rush_yards,152,0.0622,0.4463,0.031,0.7042,0.1377,,
population,concurrent (W vs W),DEF,stats_tackles_tackle_total,211,0.005,0.9427,0.0297,0.6682,0.1034,,
population,sentiment index leads (sent W -> perf W+1),QB,fantasy_points_ppr,142,0.01,0.906,0.0294,0.7283,0.1316,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_receptions,234,-0.0711,0.2787,-0.0278,0.6724,0.1117,,
population,concurrent (W vs W),WR_TE,stats_receiving_targets,248,-0.0565,0.3758,-0.0264,0.6787,0.1188,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_td,146,0.0229,0.7836,0.0257,0.7577,0.1261,,
population,concurrent (W vs W),DEF,stats_tackles_sacks,211,-0.0069,0.921,-0.0252,0.7158,0.074,,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_rec_yards,96,-0.0439,0.6714,-0.0251,0.8084,0.1228,,
population,perf leads (perf W -> sent W+1),RB,stats_rushing_rush_yards,96,0.0565,0.5844,0.0248,0.8108,0.1685,,
population,concurrent (W vs W),QB,stats_passing_pass_attempts,152,-0.0206,0.8009,0.0245,0.7646,0.1409,,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_targets,96,-0.0352,0.7335,-0.0241,0.8153,0.1214,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_fumbles_fum_forced,198,0.0326,0.6481,0.0238,0.7392,0.0529,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_attempts,142,-0.0454,0.592,-0.0235,0.7809,0.1509,,
population,perf leads (perf W -> sent W+1),RB,stats_rushing_rush_attempts,96,-0.0231,0.8231,-0.0228,0.8258,0.1464,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,total_touches,232,-0.0509,0.4407,-0.022,0.7387,0.0926,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_rushing_rush_attempts,94,0.023,0.8257,0.021,0.8404,0.1661,,
population,perf leads (perf W -> sent W+1),WR_TE,fantasy_points_ppr,234,-0.0504,0.4431,-0.0186,0.7776,0.0941,,
population,perf leads (perf W -> sent W+1),DEF,stats_interceptions_interceptions,202,0.0249,0.7246,0.018,0.7998,0.0977,,
population,concurrent (W vs W),RB,total_touches,100,0.0628,0.535,0.0167,0.8688,0.1719,,
population,concurrent (W vs W),RB,stats_rushing_rush_attempts,100,0.055,0.587,0.0159,0.8752,0.1444,,
population,perf leads (perf W -> sent W+1),RB,total_opportunities,96,-0.0325,0.7533,-0.0124,0.9043,0.1645,,
