level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment leads (sent W → perf W+1),DEF,stats_interceptions_interceptions,140,-0.0943,0.2676,-0.0895,0.2931,0.1008,,
population,perf leads (perf W → sent W+1),DEF,stats_fumbles_fum_forced,146,-0.0818,0.3262,-0.0879,0.2916,0.1178,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_int,137,0.0564,0.5123,0.0792,0.3577,0.1256,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_snap_counts_offense_snaps,196,-0.066,0.3583,-0.0778,0.2782,0.1176,,
population,concurrent (W vs W),QB,stats_passing_pass_attempts,152,-0.0552,0.4995,-0.0755,0.3552,0.137,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_targets,196,-0.0867,0.2271,-0.0751,0.2955,0.1315,,
population,sentiment leads (sent W → perf W+1),DEF,stats_fumbles_fum_forced,140,0.083,0.3298,0.0748,0.3799,0.0971,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_receptions,84,0.1073,0.3312,0.0717,0.5167,0.1894,,
population,sentiment leads (sent W → perf W+1),WR_TE,total_opportunities,196,-0.085,0.2362,-0.07,0.3293,0.1291,,
population,concurrent (W vs W),RB,stats_receiving_targets,98,0.0479,0.6398,0.0698,0.4944,0.146,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_rec_td,86,-0.0632,0.5631,-0.0693,0.5258,0.1073,,
population,concurrent (W vs W),QB,stats_rushing_rush_yards,152,0.0594,0.4672,0.0671,0.4112,0.1086,,
population,sentiment leads (sent W → perf W+1),QB,stats_rushing_rush_td,133,-0.0807,0.3559,-0.0668,0.4446,0.1041,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_rec_yards,196,-0.077,0.2837,-0.0656,0.3611,0.1093,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_attempts,84,0.0605,0.5846,0.0647,0.559,0.2023,,
population,perf leads (perf W → sent W+1),DEF,stats_interceptions_interceptions,146,0.0505,0.5446,0.0632,0.4486,0.0937,,
population,perf leads (perf W → sent W+1),QB,stats_rushing_rush_yards,137,-0.0319,0.7111,-0.0599,0.4872,0.1417,,
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_td,86,0.0281,0.7971,0.0595,0.5862,0.1353,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_receptions,196,-0.0655,0.362,-0.0588,0.4128,0.1334,,
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_attempts,86,0.0367,0.7373,0.0564,0.6061,0.1533,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_yards,133,0.0267,0.7604,0.0531,0.5437,0.1351,,
population,sentiment leads (sent W → perf W+1),DEF,stats_tackles_sacks,140,-0.0699,0.4116,-0.0512,0.5478,0.1032,,
population,sentiment leads (sent W → perf W+1),WR_TE,total_touches,196,-0.0629,0.3809,-0.0489,0.4959,0.1307,,
population,perf leads (perf W → sent W+1),RB,fantasy_points_ppr,86,0.0302,0.7822,0.0463,0.6721,0.1521,,
population,perf leads (perf W → sent W+1),QB,stats_passing_qb_rating,137,-0.099,0.2499,-0.0453,0.5995,0.1656,,
population,concurrent (W vs W),RB,stats_snap_counts_offense_snaps,98,0.0425,0.6775,0.0443,0.6651,0.1224,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_qb_rating,133,0.0234,0.7895,0.0433,0.6204,0.1248,,
population,perf leads (perf W → sent W+1),WR_TE,total_touches,199,0.0031,0.9656,0.0403,0.5716,0.1044,,
