source,alignment,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
Google,perf leads (perf W → sent W+1),opp_offense_dvoa,149,-0.0758,0.3584,-0.0737,0.3717,0.1271,,
Google,perf leads (perf W → sent W+1),opp_defense_dvoa,149,0.0704,0.3935,0.0689,0.4039,0.1327,,
Google,perf leads (perf W → sent W+1),completion_pct,149,-0.0305,0.7124,-0.0539,0.5142,0.1071,,
Google,perf leads (perf W → sent W+1),pass_td,149,-0.0994,0.2277,-0.0496,0.5482,0.1498,,
Google,perf leads (perf W → sent W+1),rush_td,149,-0.0266,0.7476,-0.0466,0.5728,0.0918,,
Google,perf leads (perf W → sent W+1),interceptions,149,0.0028,0.9725,0.0421,0.6103,0.0997,,
Google,perf leads (perf W → sent W+1),defensive_stops,149,0.0141,0.8649,0.0144,0.862,0.1009,,
Google,perf leads (perf W → sent W+1),sacks,149,0.0148,0.8575,-0.0094,0.9093,0.1049,,
Google,perf leads (perf W → sent W+1),passes_defended,149,-0.0474,0.5656,-0.0091,0.9125,0.1568,,
Google,perf leads (perf W → sent W+1),pass_int,149,0.0111,0.8928,-0.0049,0.9527,0.0937,,
Google,perf leads (perf W → sent W+1),tackles,149,-0.0093,0.9104,0.0006,0.9939,0.1238,,
