level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,17,0.2581,0.3172,0.3775,0.1353,0.4828,,
per_player,concurrent (W vs W),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,16,0.3445,0.1914,0.3765,0.1506,0.4792,,
per_player,perf leads (perf W → sent W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,15,0.2822,0.3083,0.375,0.1684,0.5232,,
per_player,concurrent (W vs W),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,17,0.4388,0.0781,0.375,0.138,0.5569,,
per_player,concurrent (W vs W),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,0.2796,0.3129,0.3571,0.1913,0.5522,,
per_player,perf leads (perf W → sent W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,15,0.2851,0.303,0.3414,0.213,0.4327,,
per_player,sentiment leads (sent W → perf W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,14,-0.0806,0.784,-0.3363,0.2398,0.5025,,
per_player,concurrent (W vs W),RB,James Cook,BUF,RB,fantasy_points_ppr,17,0.4296,0.0852,0.3335,0.1908,0.597,,
per_player,concurrent (W vs W),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,14,0.4907,0.0748,0.3231,0.2599,0.5972,,
per_player,perf leads (perf W → sent W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,13,0.1912,0.5315,0.3136,0.2967,0.4793,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,0.4129,0.2694,0.3013,0.4308,0.5197,,
per_player,sentiment leads (sent W → perf W+1),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,14,-0.1324,0.6517,-0.2923,0.3105,0.4388,,
per_player,perf leads (perf W → sent W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,-0.2888,0.3891,-0.2818,0.4011,0.4661,,
per_player,perf leads (perf W → sent W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,15,0.2046,0.4644,0.2786,0.3147,0.3259,,
per_player,sentiment leads (sent W → perf W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,11,0.4438,0.1715,0.2727,0.4171,0.5728,,
per_player,concurrent (W vs W),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,16,0.3375,0.2011,0.2708,0.3104,0.3938,,
per_player,perf leads (perf W → sent W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,9,-0.3133,0.4117,-0.25,0.5165,0.5515,,
per_player,perf leads (perf W → sent W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,15,0.2488,0.3713,0.25,0.3688,0.3313,,
per_player,perf leads (perf W → sent W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,15,0.2624,0.3447,0.2429,0.3831,0.429,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,13,-0.1964,0.5201,-0.2363,0.4371,0.4142,,
per_player,sentiment leads (sent W → perf W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,15,-0.2777,0.3164,-0.2357,0.3977,0.3856,,
per_player,perf leads (perf W → sent W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,15,-0.3533,0.1964,-0.2326,0.4042,0.428,,
per_player,concurrent (W vs W),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,0.2129,0.4285,0.218,0.4174,0.3517,,
per_player,sentiment leads (sent W → perf W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,15,-0.0031,0.9912,0.2143,0.4431,0.4237,,
per_player,concurrent (W vs W),QB,Josh Allen,BUF,QB,fantasy_points_ppr,16,-0.1173,0.6652,-0.1647,0.5421,0.4256,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,15,0.0951,0.7361,0.1607,0.5672,0.3035,,
per_player,concurrent (W vs W),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,17,0.1875,0.4711,0.1593,0.5414,0.3233,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,5,-0.6305,0.2541,-0.1539,0.8048,0.6751,,
per_player,perf leads (perf W → sent W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,15,0.2696,0.3313,0.1521,0.5885,0.5066,,
per_player,sentiment leads (sent W → perf W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,14,-0.0279,0.9245,0.1473,0.6154,0.402,,
per_player,sentiment leads (sent W → perf W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,15,-0.1464,0.6026,-0.1464,0.6025,0.4061,,
per_player,concurrent (W vs W),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,8,0.1511,0.721,0.1429,0.7358,0.5621,,
per_player,sentiment leads (sent W → perf W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,14,-0.21,0.4711,-0.1408,0.6311,0.4575,,
per_player,concurrent (W vs W),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,17,0.0361,0.8906,0.1386,0.5959,0.4049,,
per_player,perf leads (perf W → sent W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,15,-0.0749,0.7908,-0.1286,0.6479,0.385,,
per_player,perf leads (perf W → sent W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,11,0.1095,0.7487,-0.1273,0.7092,0.4801,,
